,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BES,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COG,CRI,CIV,HRV,CUB,CUW,CYP,CZE,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FRO,FLK,FJI,FIN,FRA,PYF,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRL,GRD,GUM,GTM,GIN,GNB,GUY,HTI,HND,HUN,ISL,IND,IDN,IRN,IRQ,IRL,IMN,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,OWID_KOS,KWT,KGZ,LAO,LVA,LBN,LBR,LBY,LIE,LTU,LUX,MKD,MDG,MWI,MYS,MDV,MLI,MLT,MRT,MUS,MEX,MDA,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NPL,NLD,NCL,NZL,NIC,NER,NGA,MNP,NOR,,OMN,PAK,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,PRI,QAT,ROU,RUS,RWA,KNA,LCA,VCT,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SXM,SVK,SVN,SOM,ZAF,KOR,SSD,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TWN,TZA,THA,TLS,TGO,TTO,TUN,TUR,TCA,UGA,UKR,ARE,GBR,USA,VIR,URY,UZB,VAT,VEN,VNM,OWID_WRL,YEM,ZMB,ZWE
2-Apr-20,4.932139286,89.99930502,19.31539006,5047.56358,0.24341066,133.3155579,71.48108815,25.06871383,192.6948732,515.145271,195.1381655,1189.265411,35.40722002,53.4014159,334.3945021,0.327889989,156.5920013,16.08581188,1204.871671,7.544873133,1.072324316,513.8663626,6.479940696,10.5371108,76.27474162,141.4282732,1.70095147,32.16042062,99.21619208,299.4402068,60.73301293,12.48607993,0.168197531,6.579352282,8.777261874,254.2250036,10.79159982,334.7534997,1.656395633,0.426157317,158.5565423,57.24563263,20.93041739,3.986885322,73.61437141,7.202897081,234.5766464,18.71697601,67.03229738,265.0408618,335.1392317,1.373359444,536.4107577,34.4128858,166.6875026,118.3638793,156.3220893,6.938038227,6.321111541,10.69148993,5.07553095,587.2424407,0.252253794,3540.366315,,7.808630545,260.977007,873.0800328,131.7175975,8.087241568,1.65517424,28.82801582,877.5189566,6.275555793,2048.024695,131.919084,176.1431692,88.87387908,456.2070825,2.567599451,2.284358117,4.573175379,24.15584845,1.403196991,22.11092049,60.55681212,3575.091575,1.423908519,6.131097541,566.6308696,17.2540232,698.0847325,764.4181014,645.9446036,1828.823303,14.85903671,17.2205961,27.24651431,18.53360123,1.506379797,57.94779938,74.22908876,17.16687939,1.374465402,236.4539959,70.17860528,1.186315378,1.455331439,1887.930356,213.4231792,3704.614873,169.9161939,1.95009075,,89.84737625,35.1499051,1.382659104,425.7834529,1.075347445,121.0913634,10.687742,104.8596628,1401.488126,4.270516476,195.840538,1000.20004,17.71850753,0.319944355,0.294064705,5.116265158,0.171604247,794.5200411,56.04379823,149.9305405,0.754767793,3.057012961,0.732513353,104.2444881,860.5039214,136.9095588,41.1230751,10.37156876,26.26721679,305.2307795,0.111768971,9.67398665,40.12514192,21.08940608,67.48293539,809.1828077,99.97063799,289.8238843,127.8740339,19.02909018,6.330966401,150.3985562,70.79491801,18.02662533,6953.857033,,49.40560036,11.34739574,155.777066,101.6880212,0.125360647,170.9301489,373.1169255,73.26486366,404.5346361,0.314599579,23.26809107,194.5808265,,2184.503776,6.678108181,0.159637781,17.04640372,7.757523936,489.8373843,1972.357417,0.571407119,14.23366514,0.334816498,25.37250083,0.758470983,4.348489389,63.59454973,33.33723114,185.9043568,129.1389018,0.961937868,18.1553111,67.13580846,434.1690225,654.7409876,287.2930293,97.30183172,5.587226632,7416.563659,5.028846766,2.414253349,119.11661,,1.95822923,0.538251988
3-Apr-20,6.036732981,96.25408298,22.48521204,5539.377467,0.24341066,199.9733369,91.90425619,25.06871383,223.7420332,561.9766592,204.8637011,1235.676852,39.45094152,61.0301896,377.883418,0.340034063,156.5920013,26.88023827,1324.288915,7.544873133,1.072324316,562.0413341,6.479940696,11.30811891,76.27474162,162.1548304,1.70095147,37.21312567,99.21619208,304.011813,65.77011115,13.77774338,0.252296296,6.818601456,10.20874664,298.5520939,10.79159982,426.0499087,1.656395633,0.426157317,178.0687792,57.29426658,22.8171029,7.430104464,77.73677621,7.35453702,246.2689403,20.57101609,67.03229738,294.8579588,360.2583327,1.373359444,584.578959,41.4978917,166.6875026,127.2135152,179.2772909,7.612298281,7.091978802,10.69148993,6.203426717,646.7959103,0.252253794,3622.224496,,7.808630545,273.9717127,905.4974704,131.7175975,8.087241568,1.65517424,30.33208621,951.2084923,6.56519683,2611.973524,145.2549041,176.1431692,88.87387908,485.830919,2.623416831,3.959554069,4.573175379,24.15584845,1.578596615,22.41380981,64.49041701,3865.201465,1.667386006,6.544224566,600.8599317,19.19323618,779.4975734,834.9797723,722.3118694,1906.02904,15.87215285,20.6915978,29.30470424,20.55738528,2.045700959,64.67388324,80.08311785,19.1594636,1.374465402,242.8159868,72.37626516,1.186315378,1.600864583,1966.594121,238.40214,3972.99577,169.9161939,2.130654708,0.156822115,96.27387359,35.1499051,1.777704563,441.6370921,1.290416934,132.8859768,11.71153151,125.1870679,1528.896137,4.270516476,229.2767275,1000.20004,19.18150357,0.319944355,0.367580881,5.116265158,0.171604247,857.724478,56.04379823,160.0918081,0.754767793,3.057012961,0.844088234,138.9926508,910.3080069,144.0326986,45.23538261,10.37156876,30.38372091,341.8492026,0.111768971,10.79560829,42.88507231,24.02786941,77.8405355,885.9723046,110.4570686,329.3926541,142.3248393,24.31228375,6.330966401,150.3985562,70.79491801,18.02662533,7219.046497,,54.14509109,11.64601142,172.08957,101.6880212,0.250721294,179.3057262,536.3555804,78.02707979,431.471544,0.314599579,24.65068778,196.2582474,,2357.79086,6.911608467,0.159637781,17.04640372,7.757523936,541.2272372,2102.230278,0.914251391,14.23366514,0.351557323,26.86247265,0.758470983,4.710863505,69.31091375,38.49857911,215.0249065,129.1389018,0.983800092,18.38396741,103.5347408,496.6855907,741.8067566,316.0223322,106.2259642,5.676861284,7416.563659,5.064013527,2.455347023,129.0701704,,2.121414999,0.538251988
4-Apr-20,6.036732981,105.6362499,26.70403986,5681.744645,0.24341066,199.9733369,153.1737603,27.98934069,248.3772797,580.7092145,217.5696428,1279.645585,43.69191773,61.0301896,377.883418,0.370394247,156.5920013,37.14552612,1446.984956,10.05983084,1.319783773,562.0413341,6.479940696,11.90779189,76.27474162,178.6141553,1.70095147,42.60455956,99.21619208,304.011813,69.79978974,13.77774338,0.252296296,6.818601456,19.17436178,331.6980532,10.79159982,441.2659769,1.656395633,0.426157317,195.4885511,57.33734236,24.90031815,7.430104464,81.66287602,8.264376651,262.8330233,23.74937051,67.03229738,327.9880665,391.2603458,1.496180207,648.6305815,41.4978917,194.468753,137.1693555,190.8965905,7.612298281,8.633713325,11.40425593,6.203426717,724.4415731,0.304444234,3663.153586,287.1088142,13.38622379,291.478469,985.6678158,138.8374676,9.435115162,1.65517424,37.10040297,1023.799965,6.597379167,2819.744145,154.7530782,176.1431692,106.6486549,515.4547555,2.790868969,3.959554069,7.621958965,29.24129023,1.578596615,26.65426032,70.18379251,3997.069597,2.102891869,7.260798876,600.8599317,19.19323618,865.3658434,1340.671747,858.1785933,1981.862011,17.89838513,23.20589971,29.30470424,24.49843841,2.268868337,65.1912743,80.08311785,22.07170207,1.374465402,261.3717937,72.37626516,1.384034607,1.600864583,1966.594121,283.2173342,4172.683937,206.3953767,2.347331458,0.156822115,102.9784405,35.1499051,1.92584661,457.4907313,1.290416934,146.2532052,13.09209616,146.5060537,1630.822546,4.270516476,277.0427123,1000.20004,19.18150357,0.319944355,0.367580881,5.509824016,0.205925097,917.6023657,63.04927301,170.8751941,0.754767793,4.048476624,0.921705543,138.9926508,960.6654711,153.1709371,45.23538261,10.37156876,30.38372091,387.7381125,0.111768971,13.45945969,48.3746042,27.54124948,89.38714582,969.528692,132.129025,329.3926541,165.4565243,28.43057082,6.871414752,169.1983757,70.79491801,63.09318864,7395.839472,,54.14509109,12.36268905,216.9122164,101.6880212,0.250721294,190.4161859,536.3555804,82.42297161,449.269144,0.314599579,25.37570801,198.0917074,,2517.603386,7.051708638,0.159637781,17.04640372,7.757523936,601.8256765,2221.588521,0.914251391,14.90546054,0.351557323,28.33811781,0.758470983,4.831654877,71.45455026,38.49857911,248.0582338,129.1389018,1.049386765,22.5683779,103.5347408,562.2366578,839.7666983,383.0573724,111.1198433,6.782355323,8652.657602,5.064013527,2.455347023,139.5592161,,2.121414999,0.605533486
5-Apr-20,6.935820871,115.7133922,28.52839783,6031.191354,0.304263326,199.9733369,153.1737603,32.10476943,259.8512301,599.4417699,223.0206486,1306.404335,51.38485133,71.20188787,404.3293803,0.425042578,177.4709348,41.69611764,1590.302906,10.05983084,1.319783773,594.1579818,6.479940696,13.4498081,76.27474162,192.6350617,1.70095147,48.35354054,99.21619208,308.5834192,72.3902974,14.44749479,0.252296296,6.818601456,20.90721176,367.8115164,12.59019979,532.5623859,1.863445088,0.487036934,217.6686811,57.37069136,27.63208155,8.154992704,85.39267084,9.287946236,274.2817278,25.42683534,67.03229738,352.8356473,417.593381,1.719490686,703.877264,51.61932871,194.468753,145.4658891,196.394503,9.625306555,9.558754038,11.40425593,8.177244308,767.4105322,0.330539454,3704.082677,287.1088142,13.38622379,339.6671695,1051.038896,142.3974027,9.435115162,1.65517424,39.35650855,1094.648861,6.887020204,2908.788697,160.5095473,176.1431692,106.6486549,551.0033593,3.404860142,8.452125032,9.146350758,30.51265067,1.841696051,27.05811275,75.87716801,4152.380952,2.444919767,7.648333962,663.6628194,21.8285769,932.3997994,1481.795089,926.3430212,2061.33364,18.57379589,25.8625206,31.6569213,24.49843841,2.343257463,68.2956207,112.1631972,22.07170207,1.374465402,269.8544483,76.18554227,1.977192296,2.619596591,2019.036631,283.2173342,4359.592061,231.8348069,2.564008208,0.209096153,107.6129338,35.1499051,2.024607974,482.4035929,1.290416934,154.1162807,14.65880435,186.4171783,1681.785751,4.270516476,320.0320987,1200.240048,24.89802511,0.319944355,0.385959925,5.509824016,0.205925097,970.3602705,63.04927301,180.8290889,0.754767793,4.957318316,1.018727179,138.9926508,1016.372263,157.716625,54.2432943,11.09137646,,417.4036704,0.111768971,14.58108133,52.95426892,28.23479983,95.83422344,1032.097912,157.9955538,459.9001756,187.8084896,32.41866246,7.875104548,187.9981952,76.24068094,63.09318864,7631.563439,,62.59000185,13.07936667,238.6622218,101.6880212,0.501442588,203.235947,536.3555804,86.26937695,469.9528412,0.44043941,26.72458286,199.6716039,,2667.876782,7.425309096,0.228053973,17.04640372,7.757523936,637.9669026,2334.129594,0.914251391,15.24135824,0.351557323,31.07450836,0.758470983,4.952446249,73.59818677,41.88306958,283.7830777,129.1389018,1.049386765,25.06073169,152.1677586,617.2553624,943.3066558,383.0573724,115.1500967,7.947605797,8652.657602,5.064013527,2.465620442,150.6536655,,2.121414999,0.605533486
6-Apr-20,7.68077941,125.4430468,30.10190658,6484.17783,0.425968656,199.9733369,153.1737603,34.38374342,277.3996249,599.4417699,225.2559532,1330.498312,57.59837462,73.74481243,411.381637,0.534339242,194.870046,59.68682829,1699.020917,12.57478855,1.814702688,594.1579818,6.479940696,15.67716486,76.27474162,202.0839334,2.551427205,52.3618317,99.21619208,308.5834192,76.41997598,16.50458842,0.252296296,6.818601456,24.48592368,410.575368,12.59019979,593.4266586,1.863445088,0.54791655,233.8852855,57.41724099,29.1846665,8.154992704,89.12246565,9.89450599,287.9227373,28.25203927,67.03229738,369.4007012,428.3320301,1.719490686,754.2898617,59.71647831,194.468753,160.8605681,206.6534943,10.45591677,10.6379682,11.40425593,8.177244308,826.9640018,0.374031488,3704.082677,574.2176285,15.61726109,347.7888606,1079.733537,145.9573377,9.435115162,1.65517424,43.61804132,1138.535551,6.887020204,3057.196284,166.4578987,193.7574861,106.6486549,651.7244035,3.907216556,9.213577737,9.146350758,36.8694529,1.841696051,30.08700597,77.01584311,4354.578755,2.947092085,8.310068402,693.2248233,23.89209841,1035.077188,1493.555367,973.9425878,2132.717522,19.58691203,28.89075214,33.81312027,28.27971912,2.640813966,72.43474923,130.1936068,33.10755311,1.511911942,282.5784301,77.21111688,2.570349985,2.619596591,2045.257886,297.9108405,4479.404961,231.8348069,2.600121,0.209096153,113.1434291,35.1499051,2.222130703,529.9645105,1.290416934,178.4918149,16.62106757,214.1814389,1860.156967,4.270516476,340.7306922,1200.240048,27.66146207,0.319944355,0.385959925,6.296941733,0.308887645,1041.79354,63.04927301,188.9166285,0.754767793,7.601221417,1.125450979,138.9926508,1040.352008,160.4346652,58.3556018,14.8352819,42.53720928,460.7431964,0.111768971,15.84290567,69.18023334,29.62190053,108.3848868,1106.043353,166.0351505,556.7395334,200.8557996,36.92753583,8.029518362,187.9981952,76.24068094,63.09318864,7837.821911,,68.50718422,13.25853608,280.3987187,101.6880212,0.752163881,223.7475649,582.9951961,88.83364718,479.5731655,0.44043941,27.90484835,200.5883339,0.089335734,2796.697827,7.752209496,0.273664767,17.04640372,7.757523936,676.2865039,2428.992244,1.085673526,15.24135824,0.368298148,31.80516762,0.758470983,5.314820365,74.31273227,46.79058076,320.9544635,129.1389018,1.136835662,28.60490451,181.8935533,704.2099576,1020.03716,402.210241,116.8773482,10.21835031,8652.657602,5.204680569,2.47589386,159.7983531,,2.121414999,0.605533486
7-Apr-20,8.656931977,131.0028494,32.45076748,6807.739597,0.486821321,199.9733369,153.1737603,36.02106453,281.1117853,665.0057134,229.1775401,1365.362409,63.22013379,83.9165107,444.2921679,0.746860531,208.789335,74.07939682,1795.918001,17.60470398,2.144648631,626.2746295,6.479940696,16.6195081,76.27474162,211.8376074,2.551427205,56.71826082,99.21619208,308.5834192,79.01048364,17.41353677,0.252296296,6.878413749,24.7872889,441.2307436,12.59019979,593.4266586,1.863445088,0.54791655,251.8804853,57.45614815,31.03204606,8.154992704,91.67443053,12.24492504,297.6663156,30.90066795,79.21998781,385.1375024,450.2762261,1.797649354,808.1553772,91.09293301,208.3593783,168.5118157,212.3781249,10.48523242,12.02552927,11.40425593,8.741192191,835.2562571,0.382729895,3745.011767,574.2176285,15.61726109,392.7288846,1139.665964,145.9573377,9.435115162,1.65517424,47.1275389,1184.296108,9.236330834,3235.285388,168.3767218,193.7574861,106.6486549,663.5739381,4.130486074,9.746594631,16.76830972,39.41217378,2.104795487,30.79374772,84.57250514,4577.289377,3.203613009,9.107074522,720.2985231,25.63241775,1086.314623,1634.678709,1028.705196,2192.242682,19.92461741,30.17952954,34.20515645,35.68250812,2.938370469,75.02170456,155.7171736,34.94686161,1.649358482,287.3499233,79.26226609,2.768069214,2.619596591,2045.257886,309.6656456,4541.707669,273.5938715,2.780684958,0.261370191,117.1908866,35.1499051,2.320892068,545.8181497,1.290416934,191.8590434,18.91683799,239.2188525,1962.083376,4.575553367,370.9824826,1200.240048,30.34362146,0.319944355,0.404338969,6.296941733,0.308887645,1097.35275,63.04927301,195.5525583,0.905721351,10.45167945,1.15455747,138.9926508,1061.564859,163.5744703,72.65076601,17.49268516,49.59407349,486.7005596,0.111768971,15.84290567,77.67232687,33.39992481,116.6022686,1150.37139,179.3179626,635.877073,210.8881933,43.46471697,8.10672527,206.7980147,76.24068094,63.09318864,8161.942365,,72.47112192,13.49742862,323.3108916,101.6880212,0.752163881,235.0289547,582.9951961,97.80859298,491.1175546,0.44043941,28.42753735,201.505064,0.089335734,2888.089546,8.312610183,0.273664767,17.04640372,8.61947104,713.5169176,2492.773222,1.085673526,15.66123037,0.401779797,32.3495804,0.758470983,7.005899571,75.02727777,48.56743826,358.279989,206.6222429,1.136835662,30.15976742,209.9005096,760.2156109,1112.365727,402.210241,119.4682253,11.86165226,8652.657602,5.591514936,2.516987534,168.9570245,,2.121414999,0.605533486
8-Apr-20,9.42757874,133.0877754,33.47696884,7053.646541,0.517247653,199.9733369,153.1737603,37.94602314,287.8611679,693.1045464,233.5697174,1403.446438,70.71581268,91.5452844,476.6150108,0.995814041,219.2288018,91.11765808,1914.990108,17.60470398,2.144648631,626.2746295,6.479940696,17.99018918,76.27474162,238.0506063,2.551427205,64.53254676,99.21619208,308.5834192,83.04016222,18.3703245,0.252296296,6.998038336,25.8043965,473.820296,12.59019979,684.7230676,1.863445088,0.54791655,267.6262851,57.51589843,34.98229385,8.154992704,94.81531038,13.23058464,312.2816829,34.96189859,79.21998781,409.1568305,468.4852398,2.009794308,875.4872714,122.4693877,208.3593783,180.3113302,226.4346434,12.91843174,12.02552927,11.40425593,8.741192191,866.1637539,0.452317148,3765.476312,1435.544071,16.73277974,416.5525118,1197.530171,167.3169481,13.47873595,1.65517424,49.13296609,1232.073758,9.236330834,3354.011457,175.7641905,193.7574861,106.6486549,716.8968439,4.46539035,10.96491896,16.76830972,41.95489467,2.192495299,31.50048947,92.64674675,4647.619048,3.763756156,10.01010439,745.1696573,25.63241775,1156.183852,1764.041773,1068.448523,2242.505801,21.27543892,30.88321781,34.20515645,37.49326226,3.198732409,95.19995613,173.9817443,41.38444138,1.649358482,290.5309187,80.2878407,2.768069214,2.765129735,2045.257886,323.2571389,4744.590847,287.5135597,3.069587291,0.418192306,122.4433123,35.1499051,2.765318209,663.5880409,1.290416934,210.7304247,21.60040746,261.7773143,2013.04658,4.575553367,383.7200786,1200.240048,32.07754269,0.319944355,0.404338969,6.296941733,0.308887645,1142.698869,63.04927301,200.9442513,0.905721351,11.4844541,1.232174779,138.9926508,1081.486493,167.2063343,82.05032603,18.43432038,50.96624153,521.2331231,0.223537942,16.12331108,89.59158671,34.34899372,128.096034,1220.197854,200.2908237,713.9733293,229.6014665,51.37237634,8.10672527,206.7980147,76.24068094,72.1065013,8220.873357,,80.28410059,14.15438311,359.6098872,101.6880212,0.752163881,253.1475505,932.7923138,106.4172145,507.4721059,0.503359326,29.48977629,202.5388234,0.089335734,3005.254029,8.639510583,0.319275562,17.04640372,8.61947104,761.7382246,2560.94492,1.085673526,15.78719201,0.401779797,33.93983878,0.758470983,7.851439175,76.45636878,50.42890802,404.4270492,206.6222429,1.136835662,33.42955267,238.5141147,813.7465272,1204.851392,430.939544,122.0591025,15.05862151,8652.657602,5.83768226,2.578628045,178.5662528,,2.121414999,0.672814985
9-Apr-20,10.86611937,138.9950657,35.8486342,7299.553485,0.578100319,199.9733369,153.1737603,39.71610002,297.3103035,721.2033794,237.3344409,1439.976017,81.07168483,101.7169827,483.6672675,1.32370403,219.2288018,112.8123386,2019.307628,20.11966169,2.144648631,626.2746295,6.479940696,22.61623782,76.27474162,248.7186873,2.976665072,74.92964002,99.21619208,308.5834192,85.3428357,19.8055061,0.252296296,7.05785063,27.49957583,510.6756352,12.59019979,684.7230676,2.070494542,0.608796167,290.1202848,57.57564872,40.36720875,10.87332361,98.54510519,14.5574341,327.1406398,40.34744358,85.31383303,435.6609167,496.0322092,2.04329088,932.6330586,136.6393995,208.3593783,194.5998047,252.2238206,15.24414033,15.87986558,12.82978792,9.305140075,893.3020439,0.478412368,3765.476312,1435.544071,16.73277974,448.8587941,1256.987674,181.5566884,14.82660954,1.65517424,52.89314207,1291.440741,10.07307161,3561.782078,180.7531304,193.7574861,106.6486549,740.5959131,4.856112006,12.48782437,16.76830972,47.04033645,2.367894923,34.63034579,101.4455998,4735.531136,4.155059261,10.80711051,768.9454614,29.88376929,1260.481397,1858.124,1086.47166,2305.950789,21.27543892,33.65843784,35.08723785,40.42242338,3.328913379,95.19995613,200.2077946,42.91719847,2.061698103,305.9057301,84.24362847,6.129296118,3.056196023,2071.479141,335.011944,4846.831188,296.1533662,3.358489624,0.418192306,127.2631853,35.1499051,2.913460256,677.1768745,1.290416934,214.6619625,24.67177599,291.028946,2064.009785,4.880590259,396.4576746,1800.360072,34.54296194,0.543905404,0.404338969,6.296941733,0.308887645,1199.250207,63.04927301,205.7138259,0.905721351,14.1283572,1.338898578,191.1148948,1108.602051,170.2524138,82.05032603,19.56609349,51.55431355,585.8947688,0.223537942,17.38513543,131.6881075,35.31631394,137.5288484,1288.749397,216.7195649,767.0787835,247.4830388,59.42393592,8.492759806,206.7980147,76.24068094,72.1065013,9075.372739,18.25142247,84.2193141,14.57244506,391.7940169,101.6880212,0.877524528,277.4196316,932.7923138,124.9165925,524.7886896,0.503359326,31.1084261,203.2995143,0.178671469,3137.433019,8.826310812,0.319275562,17.04640372,10.34336525,833.6246085,2624.032626,1.085673526,15.91315365,0.418520622,34.71347799,0.758470983,8.455396034,76.45636878,52.71343908,453.2419122,206.6222429,1.158697886,38.13987268,268.8465583,894.6321248,1305.524303,430.939544,131.2711103,16.58241059,9888.751545,5.872849021,2.578628045,189.4619799,,2.121414999,0.740096483
10-Apr-20,12.43310112,142.1224547,37.99225483,7545.460428,0.578100319,199.9733369,194.0200964,41.90657016,310.8090687,768.0347676,241.2560278,1470.953988,91.32892962,104.2599072,521.2793029,2.003772156,229.6682685,157.2599767,2155.636563,22.6346194,2.474594575,770.7995439,6.479940696,22.95890809,76.27474162,266.7020237,5.528092277,84.00945451,99.21619208,308.5834192,89.80426556,21.19284832,0.252296296,7.117662923,27.49957583,549.7301068,12.59019979,684.7230676,2.277543996,0.669675784,312.405038,57.6138611,43.68856136,10.87332361,105.8083898,16.83203318,342.730365,45.4681257,85.31383303,467.134519,520.0307555,2.400587646,972.8595493,141.700118,222.2500035,216.5395269,281.4137684,16.60243232,18.03829391,12.82978792,9.305140075,909.8865544,0.487110775,3765.476312,1435.544071,16.73277974,470.155673,1322.649837,181.5566884,19.76881272,1.65517424,54.64789085,1354.973199,12.16492354,3650.82663,187.5649522,193.7574861,106.6486549,758.370215,7.032989802,14.77218249,17.78457092,47.04033645,2.630994359,38.56790698,123.1839426,4829.304029,4.646362048,12.03917961,788.3994744,30.62962044,1497.226698,2234.452912,1151.632232,2375.482263,21.27543892,36.90014785,36.45936447,42.71249479,3.421899787,117.447772,213.0866586,45.67616123,2.199144643,312.2677211,85.26920308,6.129296118,3.492795454,2071.479141,350.8074633,4976.229121,318.2328716,3.358489624,0.418192306,130.6309171,35.1499051,2.913460256,763.2394873,1.505486423,246.9005722,26.68833109,319.5368921,2140.454592,4.880590259,401.234273,1800.360072,37.22512133,0.543905404,0.496234189,6.296941733,0.308887645,1270.041511,63.04927301,210.4834005,0.905721351,16.93750424,1.39711156,191.1148948,1136.270987,173.2047678,89.49164438,20.82915228,51.55431355,637.8094952,0.223537942,18.08614895,159.4087271,37.19620042,147.3051546,1368.677162,238.7410691,824.6964659,270.4067985,69.42157459,8.724380528,206.7980147,76.24068094,108.159752,9812.010136,18.25142247,94.41640022,14.93078387,421.3328756,101.6880212,0.877524528,326.3056542,1165.990392,128.3966736,540.6622246,0.755038989,32.60904937,203.8261464,0.178671469,3260.543419,8.873010869,0.319275562,17.04640372,10.34336525,905.1149241,2714.735647,1.085673526,15.95514086,0.418520622,35.42981059,1.516941966,8.81777015,77.88545979,54.40568432,501.3335042,206.6222429,1.158697886,43.26177405,302.3133544,958.6217507,1407.943423,478.8217155,136.1649894,17.38912246,9888.751545,6.013516063,2.619721719,200.6282721,0.033527831,2.121414999,0.740096483
11-Apr-20,13.38356546,144.5548683,40.15867992,7778.424901,0.578100319,199.9733369,214.4432644,43.69877301,316.2085748,805.4998782,244.6285926,1505.596021,97.73970762,106.8028318,586.5126767,2.574543618,233.1480908,209.644693,2300.939048,25.14957711,2.887027004,770.7995439,6.479940696,23.64424864,76.27474162,274.6268839,5.528092277,92.38828849,99.21619208,310.8692223,91.38735357,21.43204525,0.252296296,7.177475217,30.24953341,586.4264727,12.59019979,684.7230676,2.277543996,0.669675784,340.0778889,57.66874799,48.60180488,10.87332361,109.5381847,18.19679263,364.1662371,49.79421921,85.31383303,492.8103525,535.2516234,2.489911837,1004.626392,151.821555,222.2500035,241.5213114,405.8819729,17.53076138,18.19246736,12.82978792,9.587114016,948.3324652,0.565396435,3765.476312,1435.544071,17.84829839,499.7547249,1389.169929,181.5566884,20.66739512,1.65517424,58.65874523,1404.302459,12.16492354,3769.5527,192.9376567,193.7574861,124.4234307,770.2197496,7.646980975,16.14279736,17.78457092,50.85441779,2.718694171,39.57753805,135.6058528,4908.424908,5.396359664,12.83984172,811.8776345,31.79812057,1638.180273,2363.815975,1202.46672,2440.829278,21.95084968,42.2766425,36.45936447,44.73627884,3.514886194,129.3477665,232.5220352,51.96046529,2.199144643,324.461537,89.22499085,7.315611495,3.492795454,2097.700396,366.9703202,5148.759697,341.2723555,3.683504749,0.470466345,134.2767184,35.1499051,4.29611936,792.6819601,1.505486423,250.0458024,29.81399148,356.4732745,2293.344205,4.880590259,409.1952705,1800.360072,39.22996775,0.639888711,0.514613233,6.296941733,0.308887645,1347.952798,63.04927301,214.6308567,0.905721351,18.09421185,1.479579951,191.1148948,1151.765592,175.7587884,94.77889689,21.67571857,52.14238557,689.2606972,0.223537942,18.64695977,178.8495555,37.19620042,157.3456853,1517.352612,253.4220718,871.9013141,284.1818469,81.65994516,9.110415065,225.5978343,81.68644386,108.159752,10136.13059,18.25142247,104.872004,15.8266309,456.3092357,101.6880212,1.002885175,326.3056542,1165.990392,130.9609438,557.9788083,1.32131823,33.77245392,203.8261464,0.268007203,3358.415758,9.19991127,0.342080959,17.04640372,10.34336525,958.9802035,2799.430316,1.085673526,15.95514086,0.535706397,36.07450994,1.516941966,9.180144266,77.88545979,56.77482765,557.6182151,232.4500232,1.158697886,50.37298532,339.7233681,1035.147097,1515.274891,478.8217155,142.2103694,18.64400758,9888.751545,6.154183106,2.640268556,212.0909157,0.033527831,2.175810255,0.740096483
